column_name,appears_in_n_files,total_files,dtype,sample_values,duplicate_note,slug_ids
% breakdown,3,31,float64,Supply included: 100% Slaughter Sheep/Lambs (100% Wooled & Shorn). | Supply included: 100% Slaughter Sheep/Lambs (100% Wooled). | Supply included: 0% Slaughter Sheep/Lambs (100% Wooled & Shorn).,,"2907, 2922, 3454"
_section,31,31,object,UNKNOWN | Report Header | Report Details,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
age,30,31,float64,Young (2-4 yrs) | Yearlings (1-2 yrs) | Middle Aged (4-6 yrs),,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
avg_price,28,31,float64,264.58 | 330.0 | 182.5,Also appears as: wtd_Avg_Price,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
avg_price_max,28,31,float64,275.0 | 330.0 | 182.5,Also appears as: price_max,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
avg_price_min,28,31,float64,255.0 | 330.0 | 182.5,Also appears as: price_min,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
avg_weight,28,31,int64,118 | 89 | 155,Also appears as: wtd_avg_wt,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
avg_weight_max,28,31,int64,123 | 89 | 155,Also appears as: weight_max,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
avg_weight_min,28,31,int64,113 | 89 | 155,Also appears as: weight_min,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
category,30,31,object,Goats | Sheep,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
class,30,31,object,Wethers | Kids | Bucks/Billies,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
comments_commodity,28,31,float64,,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
commodity,30,31,object,Slaughter Goats | Replacement Goats | Slaughter Sheep/Lambs,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
current,2,31,object,Yes | No,,"2922, 3454"
delivery_month,2,31,object,Current | May | Mar-Apr,,"2922, 3454"
dressing,30,31,object,Average | High,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
final_ind,31,31,object,Final,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
frame,30,31,object,Medium | Medium and Large,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
freight,30,31,object,F.O.B.,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
geographical_indicator,3,31,object,NATL | REGL,,"2907, 2922, 3454"
geographical_location,3,31,float64,,,"2907, 2922, 3454"
group,28,31,object,Livestock,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
grp,2,31,object,Livestock,,"2922, 3454"
head_count,30,31,int64,4 | 1 | 3,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
lot_desc,30,31,object,Yearlings | Pygmies | Fancy,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
market_location_city,31,31,object,Billings | Jackson | Buffalo,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
market_location_name,31,31,object,Public Auction Yards | SEMO Livestock Sales | Buffalo Livestock Market,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
market_location_state,31,31,object,MT | MO | OK,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
market_type,31,31,object,"Auction Livestock | Auction Livestock,Auction Livestock (Special) | Auction Livestock (Special Graded)",,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
market_type_category,28,31,object,Auction | Summary,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
muscle_Grade,2,31,object,1-2,"Same as ""muscle_grade"" (different casing/naming in some reports)","2922, 3454"
muscle_grade,28,31,object,1-2 | 2 | 1.0,Also appears as: muscle_Grade,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
offered,2,31,float64,2225.0 | 2425.0 | 315.0,,"2922, 3454"
offered_previous,2,31,float64,315.0 | 505.0,,"2922, 3454"
office_city,31,31,object,Billings | Jefferson City | Oklahoma City,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
office_code,31,31,object,LS-BL | LS-JC | LS-KO,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
office_name,31,31,object,"Billings, MT | Jefferson City, MO | Oklahoma City, OK",,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
office_state,31,31,object,MT | MO | OK,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
offspring_weight_est,30,31,float64,20-40 lbs | <20 lbs,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
pO_Pct,2,31,float64,21.6,,"2922, 3454"
pO_pct_previous,2,31,float64,,,"2922, 3454"
pregnancy,2,31,float64,,"Same as ""pregnancy_stage"" (different casing/naming in some reports)","2922, 3454"
pregnancy_stage,28,31,float64,Exposed | Open | Spring,Also appears as: pregnancy,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
previous_Report_Date,2,31,float64,12/02/2025 | 10/17/2025,,"2922, 3454"
price_max,2,31,float64,249.5 | 217.5 | 237.0,"Same as ""avg_price_max"" (different casing/naming in some reports)","2922, 3454"
price_min,2,31,float64,249.5 | 213.0 | 237.0,"Same as ""avg_price_min"" (different casing/naming in some reports)","2922, 3454"
price_unit,30,31,object,Per Cwt | Per Unit,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
published_Date,1,31,object,02/13/2026 08:11:45 | 02/06/2026 11:51:58 | 01/30/2026 07:56:10,"Same as ""published_date"" (different casing/naming in some reports)",2907
published_date,30,31,object,02/09/2026 18:47:05 | 01/16/2026 11:07:35 | 11/25/2025 20:29:25,Also appears as: published_Date,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
quality_grade_name,30,31,object,Selection 1 | Selection 2 | Selection 1-2,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
receipts,28,31,int64,343 | 6 | 310,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
receipts_week_ago,28,31,int64,1301 | 0 | 356,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
receipts_year_ago,28,31,int64,385 | 10 | 592,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
region_name,2,31,object,Inter-Mountain West | Central Plains | Pacific Northwest,,"2922, 3454"
report_begin_date,31,31,object,02/09/2026 | 01/16/2026 | 11/25/2025,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
report_date,31,31,object,02/09/2026 | 01/16/2026 | 11/25/2025,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
report_end_date,31,31,object,02/09/2026 | 01/16/2026 | 11/25/2025,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
report_narrative,31,31,object,"Compared to last sale: (1/19/26) Feeder lambs were all too lightly tested to dev | Compared to last month, in a  very light test. feeder lambs steady, slaughter la | Compared to the sale last month feeder lambs sold 40.00-60.00 higher.  Slaughter",,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
report_title,31,31,object,"Public Auction Yards Sheep & Goat Auction - Billings, MT | SEMO Livestock Sales Sheep/Goat - Jackson, MO | Buffalo Livestock Market Sheep/Goat - Buffalo, MO",,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
reported,2,31,float64,2225.0 | 1900.0 | 315.0,,"2922, 3454"
reported_previous,2,31,float64,315.0 | 505.0,,"2922, 3454"
slug_id,31,31,int64,1772 | 1803 | 1804,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
slug_name,31,31,object,AMS_1772 | AMS_1803 | AMS_1804,,"1772, 1803, 1804, 1805, 1806, 1807, 1826, 1833..."
special_notes,3,31,object,"***This report will not be published due to the holidays until Friday, January 1 | This report will not be published next week due to the Thanksgiving holiday. The",,"2907, 2922, 3454"
state_code,2,31,object,"CO, ID, MT, NV, UT, WY | IA, KS, MN, MO, ND, NE, OK, SD | OR, WA",,"2922, 3454"
sub_title,2,31,float64,"Silver Legacy in Reno, Nevada",,"2922, 3454"
weight_Break_High,2,31,float64,140.0 | 150.0 | 130.0,"Same as ""weight_break_high"" (different casing/naming in some reports)","2922, 3454"
weight_Break_Low,2,31,float64,130.0 | 140.0 | 120.0,"Same as ""weight_break_low"" (different casing/naming in some reports)","2922, 3454"
